iter	Passed	Remaining
223	633	2193
224	635	2188
225	638	2185
226	640	2181
227	642	2176
228	645	2172
229	648	2169
230	650	2166
231	653	2164
232	656	2161
233	659	2158
234	662	2155
235	664	2150
236	666	2146
237	669	2143
238	671	2139
239	674	2136
240	677	2133
241	680	2130
242	684	2131
243	687	2130
244	690	2128
245	693	2126
246	697	2125
247	700	2123
248	702	2119
249	706	2118
250	709	2117
251	712	2116
252	716	2114
253	719	2112
254	721	2109
255	724	2106
256	727	2103
257	730	2101
258	733	2098
259	735	2093
260	738	2089
261	740	2086
262	743	2083
263	746	2081
264	749	2078
265	752	2075
266	754	2072
267	757	2069
268	760	2066
269	763	2063
270	766	2060
271	768	2057
272	771	2054
273	774	2052
274	777	2049
275	780	2046
276	782	2043
277	785	2039
278	788	2036
279	791	2034
280	793	2031
281	796	2027
282	799	2024
283	801	2020
284	804	2017
285	806	2013
286	808	2009
287	811	2005
288	813	2001
289	816	1998
290	819	1995
291	821	1992
292	824	1988
293	826	1985
294	828	1980
295	831	1977
296	834	1976
297	837	1973
298	840	1971
299	844	1969
300	847	1966
301	850	1965
302	853	1963
303	856	1961
304	860	1960
305	864	1959
306	867	1958
307	870	1955
308	873	1953
309	876	1951
310	880	1950
311	883	1948
312	887	1946
313	890	1945
314	893	1943
315	896	1940
316	899	1937
317	901	1934
318	904	1931
319	907	1927
320	910	1925
321	912	1922
322	915	1919
323	918	1915
324	921	1912
325	923	1910
326	927	1908
327	929	1905
328	932	1901
329	934	1897
330	936	1893
331	939	1890
332	942	1887
333	944	1883
334	947	1880
335	950	1877
336	952	1874
337	955	1872
338	957	1867
339	960	1864
340	963	1861
341	965	1858
342	968	1855
343	971	1852
344	973	1849
345	976	1845
346	979	1842
347	981	1838
348	984	1835
349	986	1832
350	989	1829
351	992	1826
352	994	1823
353	997	1819
354	1000	1817
355	1002	1814
356	1005	1810
357	1007	1807
358	1010	1804
359	1013	1801
360	1016	1798
361	1018	1795
362	1021	1792
363	1023	1789
364	1026	1786
365	1029	1783
366	1032	1780
367	1035	1777
368	1037	1774
369	1041	1772
370	1045	1771
371	1048	1769
372	1051	1767
373	1054	1764
374	1057	1762
375	1060	1760
376	1063	1758
377	1067	1756
378	1070	1753
379	1073	1751
380	1075	1748
381	1078	1745
382	1081	1742
383	1084	1739
384	1086	1736
385	1090	1734
386	1093	1731
387	1095	1728
388	1098	1725
389	1101	1722
390	1103	1718
391	1106	1716
392	1109	1713
393	1112	1710
394	1114	1707
395	1117	1704
396	1120	1701
397	1122	1698
398	1125	1694
399	1127	1691
400	1130	1688
401	1133	1686
402	1136	1683
403	1138	1679
404	1141	1676
405	1143	1673
406	1146	1670
407	1149	1667
408	1151	1664
409	1154	1661
410	1157	1658
411	1159	1654
412	1162	1651
413	1164	1648
414	1167	1645
415	1170	1642
416	1172	1639
417	1175	1636
418	1178	1634
419	1181	1631
420	1183	1627
421	1186	1624
422	1188	1621
423	1190	1617
424	1194	1615
425	1197	1613
426	1200	1610
427	1202	1607
428	1205	1604
429	1208	1601
430	1210	1598
431	1213	1595
432	1216	1592
433	1218	1589
434	1221	1586
435	1224	1583
436	1226	1580
437	1228	1576
438	1231	1573
439	1235	1572
440	1239	1570
441	1242	1568
442	1245	1566
443	1248	1563
444	1252	1561
445	1255	1559
446	1259	1557
447	1262	1555
448	1266	1554
449	1269	1551
450	1272	1549
451	1275	1546
452	1278	1543
453	1280	1540
454	1283	1537
455	1286	1535
456	1289	1532
457	1292	1529
458	1295	1526
459	1298	1523
460	1300	1521
461	1303	1518
462	1306	1515
463	1309	1512
464	1311	1509
465	1314	1506
466	1317	1503
467	1319	1499
468	1322	1496
469	1324	1494
470	1327	1491
471	1330	1488
472	1333	1485
473	1336	1482
474	1339	1480
475	1341	1477
476	1344	1474
477	1347	1471
478	1350	1468
479	1352	1465
480	1355	1462
481	1358	1459
482	1361	1457
483	1363	1454
484	1366	1451
485	1369	1448
486	1372	1445
487	1374	1442
488	1377	1439
489	1380	1436
490	1382	1433
491	1385	1430
492	1388	1428
493	1391	1425
494	1394	1422
495	1397	1419
496	1399	1416
497	1402	1413
498	1405	1411
499	1408	1408
500	1410	1405
501	1413	1402
502	1417	1401
503	1421	1398
504	1424	1396
505	1427	1393
506	1430	1391
507	1433	1388
508	1436	1386
509	1440	1383
510	1443	1381
511	1446	1379
512	1450	1376
513	1453	1374
514	1456	1372
515	1459	1368
516	1462	1366
517	1465	1363
518	1468	1360
519	1470	1357
520	1473	1354
521	1476	1352
522	1479	1349
523	1482	1346
524	1485	1343
525	1488	1341
526	1490	1337
527	1492	1334
528	1495	1331
529	1498	1328
530	1501	1325
531	1503	1322
532	1506	1320
533	1509	1317
534	1512	1314
535	1515	1311
536	1517	1308
537	1520	1305
538	1522	1302
539	1525	1299
540	1528	1296
541	1530	1293
542	1533	1290
543	1535	1287
544	1538	1284
545	1541	1281
546	1544	1278
547	1546	1275
548	1549	1272
549	1552	1269
550	1554	1267
551	1557	1264
552	1560	1261
553	1562	1258
554	1565	1255
555	1568	1252
556	1571	1249
557	1573	1246
558	1575	1243
559	1578	1240
560	1581	1237
561	1583	1234
562	1586	1231
563	1589	1228
564	1591	1225
565	1594	1222
566	1597	1220
567	1600	1217
568	1603	1214
569	1606	1211
570	1608	1208
571	1612	1206
572	1615	1204
573	1619	1201
574	1621	1198
575	1624	1196
576	1628	1193
577	1631	1191
578	1635	1189
579	1638	1186
580	1641	1183
581	1643	1180
582	1646	1177
583	1649	1174
584	1651	1171
585	1654	1168
586	1656	1165
587	1659	1162
588	1662	1160
589	1665	1157
590	1668	1154
591	1671	1151
592	1673	1148
593	1676	1145
594	1679	1143
595	1681	1140
596	1684	1137
597	1687	1134
598	1689	1131
599	1692	1128
600	1695	1125
601	1697	1122
602	1700	1119
603	1703	1116
604	1705	1113
605	1708	1110
606	1711	1107
607	1713	1105
608	1716	1102
609	1719	1099
610	1722	1096
611	1725	1093
612	1727	1090
613	1730	1087
614	1732	1084
615	1735	1082
616	1738	1079
617	1741	1076
618	1743	1073
619	1746	1070
620	1749	1067
621	1752	1064
622	1754	1062
623	1757	1058
624	1760	1056
625	1762	1053
626	1765	1050
627	1768	1047
628	1770	1044
629	1773	1041
630	1776	1038
631	1778	1035
632	1781	1032
633	1784	1030
634	1786	1027
635	1790	1024
636	1794	1022
637	1797	1019
638	1800	1017
639	1802	1014
640	1805	1011
641	1808	1008
642	1811	1005
643	1815	1003
644	1818	1001
645	1822	998
646	1824	995
647	1827	992
648	1830	989
649	1832	986
650	1835	983
651	1838	981
652	1839	977
653	1843	975
654	1846	972
655	1848	969
656	1851	966
657	1854	963
658	1857	961
659	1859	958
660	1862	955
661	1864	951
662	1867	949
663	1870	946
664	1872	943
665	1875	940
666	1878	937
667	1881	934
668	1883	932
669	1886	929
670	1889	926
671	1892	923
672	1894	920
673	1896	917
674	1899	914
675	1902	911
676	1904	908
677	1907	905
678	1910	903
679	1913	900
680	1915	897
681	1917	894
682	1920	891
683	1923	888
684	1926	885
685	1929	883
686	1931	880
687	1934	877
688	1937	874
689	1939	871
690	1942	868
691	1945	865
692	1948	863
693	1951	860
694	1954	857
695	1956	854
696	1959	851
697	1962	849
698	1965	846
699	1968	843
700	1971	840
701	1974	837
702	1976	835
703	1979	832
704	1982	829
705	1986	827
706	1990	824
707	1993	822
708	1996	819
709	1999	816
710	2002	814
711	2006	811
712	2009	808
713	2013	806
714	2016	803
715	2019	801
716	2023	798
717	2026	795
718	2029	793
719	2032	790
720	2034	787
721	2037	784
722	2040	781
723	2043	779
724	2046	776
725	2049	773
726	2052	770
727	2055	768
728	2058	765
729	2061	762
730	2063	759
731	2066	756
732	2069	753
733	2072	750
734	2074	748
735	2077	745
736	2080	742
737	2083	739
738	2086	736
739	2088	733
740	2091	730
741	2093	727
742	2096	725
743	2100	722
744	2103	719
745	2106	717
746	2108	714
747	2111	711
748	2114	708
749	2116	705
750	2119	702
751	2122	699
752	2124	696
753	2127	694
754	2130	691
755	2132	688
756	2135	685
757	2138	682
758	2140	679
759	2143	676
760	2146	674
761	2149	671
762	2151	668
763	2154	665
764	2156	662
765	2159	659
766	2162	656
767	2165	654
768	2169	651
769	2173	649
770	2176	646
771	2179	643
772	2183	641
773	2186	638
774	2190	635
775	2194	633
776	2196	630
777	2199	627
778	2202	624
779	2205	622
780	2208	619
781	2211	616
782	2213	613
783	2217	610
784	2220	608
785	2223	605
786	2226	602
787	2228	599
788	2231	596
789	2234	593
790	2236	591
791	2239	588
792	2242	585
793	2244	582
794	2247	579
795	2250	576
796	2252	573
797	2255	570
798	2257	568
799	2260	565
800	2263	562
801	2265	559
802	2268	556
803	2271	553
804	2274	550
805	2277	548
806	2280	545
807	2282	542
808	2285	539
809	2288	536
810	2290	533
811	2293	530
812	2296	528
813	2298	525
814	2301	522
815	2304	519
816	2307	516
817	2309	513
818	2311	510
819	2314	508
820	2317	505
821	2320	502
822	2322	499
823	2325	496
824	2328	493
825	2330	491
826	2333	488
827	2336	485
828	2339	482
829	2341	479
830	2344	476
831	2347	473
832	2349	471
833	2352	468
834	2355	465
835	2358	462
836	2361	459
837	2365	457
838	2368	454
839	2371	451
840	2375	449
841	2378	446
842	2381	443
843	2385	440
844	2388	438
845	2392	435
846	2395	432
847	2398	429
848	2401	427
849	2404	424
850	2406	421
851	2409	418
852	2412	415
853	2415	412
854	2418	410
855	2421	407
856	2424	404
857	2426	401
858	2429	398
859	2432	395
860	2435	393
861	2437	390
862	2440	387
863	2444	384
864	2446	381
865	2449	379
866	2452	376
867	2455	373
868	2457	370
869	2460	367
870	2463	364
871	2466	361
872	2468	359
873	2471	356
874	2474	353
875	2476	350
876	2479	347
877	2482	344
878	2484	342
879	2487	339
880	2490	336
881	2492	333
882	2495	330
883	2498	327
884	2501	325
885	2504	322
886	2506	319
887	2508	316
888	2511	313
889	2513	310
890	2516	307
891	2519	305
892	2521	302
893	2524	299
894	2527	296
895	2529	293
896	2532	290
897	2535	287
898	2537	285
899	2540	282
900	2544	279
901	2547	276
902	2551	274
903	2554	271
904	2557	268
905	2560	265
906	2563	262
907	2565	259
908	2569	257
909	2572	254
910	2575	251
911	2579	248
912	2582	246
913	2585	243
914	2588	240
915	2590	237
916	2593	234
917	2596	231
918	2599	229
919	2601	226
920	2604	223
921	2608	220
922	2610	217
923	2613	214
924	2616	212
925	2619	209
926	2622	206
927	2624	203
928	2627	200
929	2630	197
930	2632	195
931	2635	192
932	2638	189
933	2641	186
934	2643	183
935	2646	180
936	2648	178
937	2651	175
938	2654	172
939	2657	169
940	2659	166
941	2662	163
942	2665	161
943	2667	158
944	2670	155
945	2673	152
946	2675	149
947	2678	146
948	2681	144
949	2684	141
950	2686	138
951	2689	135
952	2691	132
953	2694	129
954	2697	127
955	2699	124
956	2702	121
957	2705	118
958	2708	115
959	2710	112
960	2713	110
961	2716	107
962	2719	104
963	2721	101
964	2726	98
965	2729	96
966	2733	93
967	2736	90
968	2738	87
969	2742	84
970	2745	82
971	2749	79
972	2752	76
973	2755	73
974	2758	70
975	2760	67
976	2763	65
977	2765	62
978	2768	59
979	2771	56
980	2774	53
981	2777	50
982	2780	48
983	2783	45
984	2786	42
985	2788	39
986	2791	36
987	2794	33
988	2797	31
989	2799	28
990	2802	25
991	2805	22
992	2808	19
993	2811	16
994	2813	14
995	2816	11
996	2819	8
997	2822	5
998	2824	2
999	2827	0
