iter	Logloss
0	0.6863181224
1	0.6804598319
2	0.674708598
3	0.6696685842
4	0.6646613989
5	0.6596884395
6	0.6540157703
7	0.648223098
8	0.6449966359
9	0.6401767214
10	0.6347308526
11	0.6300987896
12	0.6249875583
13	0.6207436016
14	0.6159403238
15	0.6111009946
16	0.606291638
17	0.6014164988
18	0.5974189595
19	0.5938967314
20	0.5894079092
21	0.5854841569
22	0.5831923732
23	0.5801796903
24	0.5769216472
25	0.5738846196
26	0.5703217266
27	0.5661397055
28	0.5625441278
29	0.5586695482
30	0.5558115878
31	0.5526458261
32	0.5502618403
33	0.5474352169
34	0.5447866713
35	0.5416556132
36	0.5384807257
37	0.5357652499
38	0.5334473848
39	0.5304008908
40	0.5277276294
41	0.5251174987
42	0.5228226978
43	0.5210944566
44	0.5181755287
45	0.5154893355
46	0.5127019164
47	0.5101291754
48	0.5078602588
49	0.5052522609
50	0.5031446962
51	0.501526805
52	0.4990462818
53	0.4970529241
54	0.4952507992
55	0.4939471657
56	0.4915541557
57	0.4901735541
58	0.4888345079
59	0.4874252557
60	0.4853286576
61	0.4834898351
62	0.4816412241
63	0.4802374474
64	0.4785438007
65	0.4766685681
66	0.4750708844
67	0.4737703598
68	0.4724358394
69	0.4709182662
70	0.4700170309
71	0.4688254876
72	0.4670900758
73	0.4663635582
74	0.4646581175
75	0.4633750539
76	0.4614775366
77	0.459958825
78	0.4587628172
79	0.4572807619
80	0.4567077757
81	0.4555817543
82	0.4541150586
83	0.45308099
84	0.4522111703
85	0.4510938443
86	0.4496201577
87	0.4487918013
88	0.4477679195
89	0.4464861093
90	0.4456341101
91	0.4445035274
92	0.4438488984
93	0.4429864602
94	0.4419881864
95	0.4408207344
96	0.439568689
97	0.4386730718
98	0.4377746873
99	0.4373649251
100	0.4365804526
101	0.4355283773
102	0.4347955634
103	0.4338879614
104	0.4329191903
105	0.4319669181
106	0.431102757
107	0.4306165574
108	0.429945278
109	0.4291843568
110	0.4285573925
111	0.4279322246
112	0.4271020934
113	0.4264080789
114	0.4258361174
115	0.4250428187
116	0.4242764272
117	0.4233940537
118	0.4227458729
119	0.4221566827
120	0.4212953145
121	0.4207916312
122	0.4203193489
123	0.4199910188
124	0.4193208039
125	0.4187180327
126	0.4183278129
127	0.4175140765
128	0.4169273898
129	0.4164578033
130	0.4158494238
131	0.4152793195
132	0.4145729572
133	0.4140395221
134	0.4136578428
135	0.4130286888
136	0.4124619238
137	0.411780289
138	0.4111034534
139	0.4108497619
140	0.410278548
141	0.409906979
142	0.4092604417
143	0.4089290241
144	0.4085420304
145	0.4081467949
146	0.407459928
147	0.406834733
148	0.4064140397
149	0.4060669943
150	0.4054859807
151	0.4051316369
152	0.4047677457
153	0.4047128459
154	0.4043838229
155	0.4040944237
156	0.4037656994
157	0.4033405607
158	0.4029624584
159	0.4025860505
160	0.4024438695
161	0.4019637644
162	0.4018597382
163	0.4014809093
164	0.4010776011
165	0.4008808081
166	0.40053172
167	0.4001311002
168	0.3997895753
169	0.3996075392
170	0.3994496212
171	0.3991722778
172	0.3987283124
173	0.3986359791
174	0.3981174009
175	0.3975892419
176	0.3973084119
177	0.3968504548
178	0.3966159726
179	0.3963568345
180	0.3961100875
181	0.3958112838
182	0.3954760923
183	0.3951421978
184	0.3947268482
185	0.3944034915
186	0.3941452328
187	0.3937890126
188	0.3935226026
189	0.3931853154
190	0.3928372042
191	0.3925045999
192	0.392233104
193	0.3918565674
194	0.3916033037
195	0.3914580296
196	0.3911010851
197	0.391063763
198	0.3910078494
199	0.3908316421
200	0.3906042948
201	0.3903735277
202	0.3901629035
203	0.390066647
204	0.3898160938
205	0.3896535568
206	0.3893902659
207	0.3892038213
208	0.3889788372
209	0.3887848387
210	0.3886900293
211	0.388529115
212	0.3884538065
213	0.3881036218
214	0.3879164319
215	0.3876627004
216	0.3873553965
217	0.3872002668
218	0.387005627
219	0.3867866311
220	0.3866337934
221	0.3863509478
222	0.3861475571
223	0.3861312506
224	0.3860928568
225	0.3859053174
226	0.3857290272
227	0.3857093278
228	0.3855580498
229	0.3852991693
230	0.3851177447
231	0.3849797262
232	0.3847544346
233	0.3845702834
234	0.3843075051
235	0.3842870635
236	0.384028552
237	0.3838188796
238	0.383723742
239	0.3834108256
240	0.3833305227
241	0.3832130028
242	0.3829810886
243	0.3827284298
244	0.3825338961
245	0.3823623386
246	0.382237397
247	0.3821998069
248	0.3821568701
249	0.3819514616
250	0.3818261341
251	0.3816359931
252	0.3815358431
253	0.3813492719
254	0.3811472771
255	0.3809549213
256	0.3808070001
257	0.3806095287
258	0.3804422876
259	0.3804287882
260	0.3803733677
261	0.3801670879
262	0.3798553288
263	0.3797411606
264	0.3796638741
265	0.3794994584
266	0.3793662779
267	0.379220408
268	0.3790528304
269	0.3788601093
270	0.3787588327
271	0.3785387998
272	0.3784060965
273	0.3782344841
274	0.3780444987
275	0.3778335168
276	0.3776555967
277	0.3775175865
278	0.3773461653
279	0.3771637992
280	0.3770315568
281	0.3768970479
282	0.3767625807
283	0.3767222753
284	0.3765110835
285	0.3764296683
286	0.3764189513
287	0.376216935
288	0.3761696354
289	0.3759315333
290	0.3758142305
291	0.3756045332
292	0.3755435517
293	0.3754283398
294	0.3754127027
295	0.3753365484
296	0.3750665929
297	0.3750287913
298	0.3748681934
299	0.3747295248
300	0.3746702764
301	0.3745365901
302	0.3744498022
303	0.3742367643
304	0.3741419788
305	0.374039728
306	0.3739770094
307	0.3737679303
308	0.3736653781
309	0.3735240743
310	0.3734718171
311	0.3733675029
312	0.3732275483
313	0.3729742769
314	0.3729486321
315	0.3729218556
316	0.3727838054
317	0.3727466908
318	0.3725857221
319	0.3724897918
320	0.3724461429
321	0.3722687712
322	0.3720619405
323	0.3719908021
324	0.3718410511
325	0.3717552893
326	0.3716499845
327	0.3715515782
328	0.3715040479
329	0.3714625448
330	0.3714537542
331	0.3712978027
332	0.3712262896
333	0.3711703357
334	0.3710340528
335	0.3709089023
336	0.3707892859
337	0.370639311
338	0.3706344889
339	0.3705249388
340	0.3704431549
341	0.3703622596
342	0.3702870652
343	0.3701207728
344	0.3699914988
345	0.3698014128
346	0.3696160506
347	0.3696125168
348	0.3694819561
349	0.3694264242
350	0.3692817743
351	0.3691810025
352	0.3691088978
353	0.3690681602
354	0.3689980059
355	0.3689477449
356	0.3689072919
357	0.3688355335
358	0.3687602171
359	0.368713868
360	0.3686632206
361	0.3685939936
362	0.3685039708
363	0.3684731812
364	0.3683665296
365	0.3682673224
366	0.368036775
367	0.3679377532
368	0.3678103983
369	0.3677280873
370	0.3676841071
371	0.3676397469
372	0.3675368318
373	0.3675147493
374	0.3674786285
375	0.3674609062
376	0.3674207875
377	0.3672692334
378	0.3672028218
379	0.3671084462
380	0.367094351
381	0.3670020431
382	0.3668998717
383	0.3668183995
384	0.3667959068
385	0.3666703853
386	0.3665207804
387	0.3664888706
388	0.3663889002
389	0.3663141646
390	0.3662952014
391	0.3662418116
392	0.3661503175
393	0.366037214
394	0.365990106
395	0.3659130807
396	0.3657723139
397	0.3657663986
398	0.3657263984
399	0.3656565456
400	0.3655327714
401	0.3654111205
402	0.3653541522
403	0.3653450389
404	0.3652515456
405	0.3652346333
406	0.3651119455
407	0.3650167661
408	0.3649097877
409	0.364875043
410	0.3648474107
411	0.3648398457
412	0.364757424
413	0.3646966652
414	0.3645377595
415	0.3644833416
416	0.3644251396
417	0.3643097195
418	0.3642305625
419	0.364146138
420	0.3641277095
421	0.3640349223
422	0.3639780493
423	0.3639749712
424	0.3639641114
425	0.3638979319
426	0.3638098564
427	0.3637646654
428	0.363666126
429	0.3636047741
430	0.3635044703
431	0.3633878709
432	0.3633290278
433	0.3632926098
434	0.3632324351
435	0.3632035408
436	0.363171982
437	0.3631680993
438	0.3630853561
439	0.3630781349
440	0.3629333308
441	0.3628186686
442	0.3627401598
443	0.3627016819
444	0.362643282
445	0.3625178567
446	0.3624657959
447	0.3623421792
448	0.3622266241
449	0.3621339925
450	0.3620620113
451	0.3620290214
452	0.361944828
453	0.3618866327
454	0.3617791697
455	0.3617181581
456	0.361589097
457	0.3615136549
458	0.3614578932
459	0.3613916726
460	0.3612536249
461	0.3611896508
462	0.3610995083
463	0.3610715803
464	0.3610431666
465	0.3609166099
466	0.3608694765
467	0.3608661528
468	0.3607783665
469	0.360695795
470	0.3605986335
471	0.3605046663
472	0.3604128731
473	0.3603506142
474	0.3602864186
475	0.360196793
476	0.3601257645
477	0.3600792174
478	0.3599450943
479	0.3598943378
480	0.3598551199
481	0.359740656
482	0.3596865576
483	0.3595754062
484	0.3595100206
485	0.3593811233
486	0.3593398457
487	0.3593127181
488	0.3592719887
489	0.3591971687
490	0.3591701177
491	0.359087354
492	0.3590400178
493	0.3589327998
494	0.3588603323
495	0.3587526883
496	0.3586549188
497	0.3585868858
498	0.3585494925
499	0.3584774688
500	0.3583871131
501	0.3583187614
502	0.3582614181
503	0.3582154782
504	0.3581874161
505	0.3580993218
506	0.35802974
507	0.3579825575
508	0.3579520867
509	0.357876977
510	0.3578027382
511	0.3576468619
512	0.3576064656
513	0.3575351732
514	0.357489443
515	0.3574695551
516	0.357385715
517	0.3572498924
518	0.3572239691
519	0.3571785385
520	0.3570537999
521	0.3569989014
522	0.3569609761
523	0.3569290787
524	0.3568594004
525	0.3568276391
526	0.3568241958
527	0.3567520164
528	0.3567125352
529	0.356662057
530	0.3566169868
531	0.3565806202
532	0.3565503677
533	0.3564565878
534	0.3563674552
535	0.3563164379
536	0.3562761757
537	0.3562671383
538	0.356196556
539	0.3560911127
540	0.3559935733
541	0.3559249458
542	0.3558574614
543	0.3558365537
544	0.3558058189
545	0.3557463919
546	0.3556832877
547	0.3556385905
548	0.3555397451
549	0.3554603696
550	0.3554062582
551	0.355367752
552	0.3552603448
553	0.3551588522
554	0.3550626388
555	0.3550041055
556	0.354972916
557	0.3549583736
558	0.3548786153
559	0.3548469595
560	0.3548186103
561	0.3547463113
562	0.3547087557
563	0.3545860012
564	0.354525728
565	0.3544246213
566	0.354373998
567	0.3543413679
568	0.3542783903
569	0.3542425992
570	0.3541852927
571	0.3541649558
572	0.3541376665
573	0.354097519
574	0.3540948858
575	0.3540697384
576	0.3540288332
577	0.3539505455
578	0.3538936871
579	0.3538463782
580	0.3538339253
581	0.3538330785
582	0.3537524405
583	0.3536566794
584	0.3536397214
585	0.3535641907
586	0.3535540195
587	0.3535455076
588	0.3535092933
589	0.3534242995
590	0.3533945862
591	0.3533161635
592	0.3532914368
593	0.3532736178
594	0.3532458585
595	0.3532025674
596	0.3531833123
597	0.3530931298
598	0.3530863993
599	0.352962941
600	0.3528444271
601	0.3528193433
602	0.3527548744
603	0.3526472562
604	0.3526375254
605	0.3525543942
606	0.3524571544
607	0.3524170817
608	0.3523919987
609	0.3523712021
610	0.3523378385
611	0.3522537455
612	0.3521502739
613	0.3521338824
614	0.3520870166
615	0.3520394434
616	0.351989925
617	0.3519345717
618	0.3518665735
619	0.3517968184
620	0.3516959093
621	0.3516738438
622	0.3516145375
623	0.35159753
624	0.3515658034
625	0.3515548831
626	0.351510482
627	0.3514797736
628	0.3513640125
629	0.3513177626
630	0.351290776
631	0.3512227182
632	0.3511342777
633	0.3510278643
634	0.3509202541
635	0.3508994844
636	0.3508207009
637	0.3507689714
638	0.3507217165
639	0.3507209075
640	0.3507178318
641	0.3506929124
642	0.3506696296
643	0.3505887007
644	0.3505589113
645	0.3505055098
646	0.3504828066
647	0.3504823712
648	0.3504062844
649	0.3504060922
650	0.3503835377
651	0.3503648892
652	0.3503648892
653	0.3503140239
654	0.3502897875
655	0.3502587192
656	0.3502020778
657	0.3501463124
658	0.3500987125
659	0.3500494308
660	0.3499925278
661	0.349992087
662	0.3499575203
663	0.3498618024
664	0.3497883578
665	0.3497652957
666	0.349739323
667	0.349662199
668	0.3495666085
669	0.3495386285
670	0.3494460027
671	0.3493767944
672	0.349373469
673	0.3493286589
674	0.3493002449
675	0.3492848182
676	0.3492486119
677	0.3492256867
678	0.3491721198
679	0.3491303787
680	0.3491293867
681	0.3490603502
682	0.3490102108
683	0.3489911919
684	0.3489471944
685	0.3489076169
686	0.3488734547
687	0.348855547
688	0.3488052836
689	0.3487383518
690	0.3485910835
691	0.3485408023
692	0.3485159342
693	0.3484873262
694	0.3484625562
695	0.3483925519
696	0.3483011443
697	0.3482722182
698	0.3481712016
699	0.3481537278
700	0.3481338509
701	0.3481283068
702	0.3480647274
703	0.3480067491
704	0.3479627926
705	0.3478662478
706	0.3478409152
707	0.347778163
708	0.3477410783
709	0.3476495492
710	0.3475880691
711	0.3475476677
712	0.347493166
713	0.347409635
714	0.3473952202
715	0.3473832457
716	0.3473559397
717	0.3473556699
718	0.3473054946
719	0.3472419217
720	0.3472416527
721	0.3472188888
722	0.3471469691
723	0.3470997551
724	0.3470780476
725	0.3469762851
726	0.3469233989
727	0.3468399198
728	0.3468064904
729	0.3467936118
730	0.3467720069
731	0.3467358016
732	0.3466728455
733	0.3466582251
734	0.3466277042
735	0.3465941286
736	0.3465135663
737	0.34646168
738	0.3464340216
739	0.3463573843
740	0.346348699
741	0.3462837441
742	0.3462641242
743	0.3462296261
744	0.3461449077
745	0.3461202386
746	0.3460826877
747	0.3460051458
748	0.345983491
749	0.3459445555
750	0.3458751733
751	0.3457927247
752	0.3457352173
753	0.34568692
754	0.3456197831
755	0.3455784267
756	0.3455204075
757	0.3454453384
758	0.3454455695
759	0.3454013391
760	0.3453845327
761	0.3453547073
762	0.3453465258
763	0.3452872168
764	0.3452490101
765	0.3451597798
766	0.3451095351
767	0.3450549686
768	0.3450357695
769	0.3450267097
770	0.3449930901
771	0.3449249966
772	0.3448531525
773	0.3448410372
774	0.3447822403
775	0.3447256235
776	0.3447027936
777	0.3446542635
778	0.3445732521
779	0.3445333089
780	0.3444979335
781	0.3444592925
782	0.3444192412
783	0.3443646927
784	0.3443348015
785	0.3442510042
786	0.3441564432
787	0.3441131576
788	0.3440892535
789	0.3440502168
790	0.3440284633
791	0.3439583649
792	0.3438791063
793	0.3438646371
794	0.3438555746
795	0.3438049857
796	0.343732487
797	0.3436623149
798	0.3436506848
799	0.3436011014
800	0.3435638903
801	0.3435626593
802	0.3435234083
803	0.3434731953
804	0.3434409687
805	0.3434120812
806	0.3433484262
807	0.343291821
808	0.3432381243
809	0.3431940961
810	0.343129911
811	0.34310703
812	0.3430489495
813	0.3429939901
814	0.3429533924
815	0.3429087713
816	0.3428732018
817	0.3428167746
818	0.342814357
819	0.3427614811
820	0.3427152067
821	0.3426696622
822	0.3426523201
823	0.3425887889
824	0.3425259026
825	0.3424804354
826	0.3424380041
827	0.3423668472
828	0.3423149635
829	0.3422579172
830	0.3422056129
831	0.342160861
832	0.3421452025
833	0.3420740927
834	0.3420388606
835	0.3420224718
836	0.3419908196
837	0.3419118708
838	0.341853052
839	0.3418104079
840	0.3417422472
841	0.341680296
842	0.3416411939
843	0.3416005548
844	0.3415433739
845	0.341475428
846	0.3414322415
847	0.3413703027
848	0.3412970945
849	0.3412718657
850	0.3412092004
851	0.3411801141
852	0.3411381597
853	0.3411283291
854	0.3410933755
855	0.3410531246
856	0.3409935356
857	0.3409592761
858	0.340939347
859	0.3409006023
860	0.3408419977
861	0.3407995176
862	0.3407737214
863	0.3406848597
864	0.3406727599
865	0.3406065195
866	0.3405661527
867	0.3405458629
868	0.3404767704
869	0.3404168472
870	0.3403512003
871	0.3402847094
872	0.3402277723
873	0.3401841431
874	0.3401337541
875	0.3401080632
876	0.3400669108
877	0.3400396257
878	0.3399934567
879	0.3399655499
880	0.3399212587
881	0.3398774084
882	0.3398493317
883	0.3397918048
884	0.3397512104
885	0.3397185321
886	0.3397183687
887	0.3396631762
888	0.3396306649
889	0.3396271011
890	0.3396141753
891	0.3395657955
892	0.3395375787
893	0.339465257
894	0.3394314137
895	0.3394152334
896	0.3393669505
897	0.3393389463
898	0.3393388768
899	0.3392740865
900	0.3392158661
901	0.3391682315
902	0.3391030568
903	0.3390860009
904	0.3390510457
905	0.3390450269
906	0.3389999698
907	0.3389979914
908	0.3389392954
909	0.3389199345
910	0.3388641615
911	0.3388412332
912	0.3387888684
913	0.3387501235
914	0.3386964993
915	0.338624397
916	0.3385732855
917	0.3385235724
918	0.3384716794
919	0.3384461017
920	0.3383932492
921	0.338370219
922	0.3383485885
923	0.338300443
924	0.3382388356
925	0.3382057859
926	0.3381631026
927	0.3381477832
928	0.3381131778
929	0.3380651414
930	0.3380188038
931	0.3379857707
932	0.3379372725
933	0.3379113343
934	0.3378601296
935	0.3378140726
936	0.3378118928
937	0.3377329111
938	0.3376892836
939	0.337657069
940	0.3376222299
941	0.3375600276
942	0.3375197151
943	0.3374579681
944	0.3374286689
945	0.3373746249
946	0.337322088
947	0.3372740005
948	0.3372339659
949	0.3372131459
950	0.3371715176
951	0.3371500352
952	0.3371074798
953	0.3370622232
954	0.3370078443
955	0.3369594252
956	0.3369167218
957	0.3368791635
958	0.3368370795
959	0.3368066773
960	0.3367922509
961	0.3367473268
962	0.3367093379
963	0.3366520997
964	0.3366056273
965	0.3365597823
966	0.3365141701
967	0.3364877566
968	0.3364878336
969	0.3364756897
970	0.3364229867
971	0.3363729034
972	0.3363523147
973	0.3363063207
974	0.3362885101
975	0.3362511807
976	0.3362166448
977	0.3362160287
978	0.3361623369
979	0.3361357756
980	0.3361027368
981	0.3360553056
982	0.3360110521
983	0.3359790167
984	0.3359241969
985	0.3359101711
986	0.3358720784
987	0.3358477044
988	0.3358108369
989	0.335779373
990	0.3357497494
991	0.3357068847
992	0.3356578767
993	0.3356283645
994	0.335579502
995	0.3355487797
996	0.3355040965
997	0.3354804096
998	0.3354479643
999	0.3354292749
